person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
22,53585,MORTGAGE,,MEDICAL,D,6300,15.27,0,0.12,N,13
27,42971,RENT,2.9,DEBTCONSOLIDATION,A,6400,6.52,0,0.15,N,5
28,31424,MORTGAGE,3.9,EDUCATION,A,5700,7.96,0,0.18,N,8
28,39121,MORTGAGE,2.1,DEBTCONSOLIDATION,B,7200,9.67,0,0.18,N,2
30,46173,RENT,6.6,EDUCATION,A,2500,7.83,0,0.05,N,4
23,81658,MORTGAGE,7.5,MEDICAL,B,6100,12.1,0,0.07,N,18
25,36649,MORTGAGE,0.9,VENTURE,A,10200,8.92,0,0.28,Y,5
32,62078,RENT,5.0,HOMEIMPROVEMENT,C,3600,12.02,0,0.06,N,9
26,23815,RENT,1.4,EDUCATION,A,9200,7.27,0,0.39,N,5
25,53649,MORTGAGE,7.2,EDUCATION,B,16400,10.58,1,0.31,N,2
23,86424,RENT,3.8,VENTURE,B,8700,8.64,1,0.1,N,11
25,47141,RENT,4.5,MEDICAL,A,7500,7.65,1,0.16,Y,5
22,78221,RENT,6.7,VENTURE,B,13700,10.48,0,0.18,N,3
32,22952,MORTGAGE,1.4,HOMEIMPROVEMENT,B,8700,10.27,0,0.38,N,1
25,34266,MORTGAGE,3.2,EDUCATION,C,14600,13.05,0,0.43,N,4
21,79296,MORTGAGE,1.2,HOMEIMPROVEMENT,B,6300,10.16,0,0.08,N,5
27,82103,MORTGAGE,6.1,EDUCATION,B,18200,9.85,0,0.22,N,11
20,152399,RENT,1.1,DEBTCONSOLIDATION,B,8000,11.49,0,0.05,N,12
23,85179,MORTGAGE,2.6,DEBTCONSOLIDATION,B,11500,10.46,0,0.14,Y,3
36,106878,RENT,2.2,VENTURE,C,8700,14.4,0,0.08,N,9
21,37070,RENT,7.9,DEBTCONSOLIDATION,A,14100,7.83,0,0.38,Y,4
27,59723,MORTGAGE,9.0,HOMEIMPROVEMENT,B,19600,11.39,0,0.33,Y,3
41,30034,RENT,5.2,EDUCATION,D,7200,13.82,0,0.24,N,3
29,103049,MORTGAGE,4.2,EDUCATION,B,5300,10.52,0,0.05,Y,4
25,51786,MORTGAGE,1.1,EDUCATION,B,3100,11.52,0,0.06,N,9
20,76307,MORTGAGE,,PERSONAL,C,8400,14.57,0,0.11,N,8
29,18978,MORTGAGE,5.9,VENTURE,B,8200,10.56,0,0.43,N,10
23,16996,MORTGAGE,2.9,PERSONAL,B,16900,9.19,0,0.85,N,12
31,144523,RENT,4.3,VENTURE,A,10100,,0,0.07,N,2
24,337146,RENT,0.2,PERSONAL,A,3000,6.12,0,0.01,Y,4
30,71438,RENT,1.6,EDUCATION,A,6200,5.0,0,0.09,N,3
37,129867,RENT,5.3,MEDICAL,C,6900,13.07,0,0.05,N,5
32,41442,RENT,1.0,DEBTCONSOLIDATION,B,7900,10.44,0,0.19,N,8
20,27239,MORTGAGE,1.7,MEDICAL,D,10800,,1,0.4,N,4
29,136709,RENT,0.4,MEDICAL,A,6300,8.31,0,0.05,N,10
34,55984,RENT,3.4,EDUCATION,A,12300,6.42,0,0.22,N,12
20,53841,RENT,1.7,DEBTCONSOLIDATION,B,16700,9.29,0,0.31,N,5
38,137602,RENT,8.5,MEDICAL,A,5200,6.64,0,0.04,Y,5
29,50373,MORTGAGE,4.6,VENTURE,B,28400,10.75,0,0.56,N,4
31,33221,MORTGAGE,4.6,EDUCATION,A,12100,,0,0.36,N,5
26,29928,MORTGAGE,1.3,EDUCATION,A,6600,6.56,0,0.22,N,12
28,59761,MORTGAGE,3.7,VENTURE,B,5600,11.34,0,0.09,N,6
23,92607,RENT,0.9,VENTURE,B,12400,9.81,0,0.13,N,4
37,51847,MORTGAGE,1.7,VENTURE,A,16500,9.01,0,0.32,Y,3
39,56581,RENT,10.2,MEDICAL,A,8900,7.41,0,0.16,N,9
41,40580,RENT,1.3,DEBTCONSOLIDATION,A,15500,5.54,0,0.38,N,4
20,46231,RENT,2.7,PERSONAL,A,19400,6.25,0,0.42,N,4
30,131348,MORTGAGE,2.3,DEBTCONSOLIDATION,E,16700,16.61,0,0.13,N,9
31,55882,RENT,7.1,EDUCATION,C,16600,,0,0.3,N,10
24,40636,RENT,1.1,PERSONAL,A,7600,5.67,0,0.19,N,12
30,136160,MORTGAGE,3.8,MEDICAL,B,6700,10.11,0,0.05,N,5
20,51995,RENT,0.4,HOMEIMPROVEMENT,A,6700,6.49,0,0.13,N,5
37,54786,MORTGAGE,4.2,HOMEIMPROVEMENT,A,6600,7.38,0,0.12,N,1
20,52581,RENT,6.7,PERSONAL,D,6100,15.01,1,0.12,Y,9
30,26490,RENT,3.0,EDUCATION,A,4100,8.09,0,0.15,N,4
33,48360,RENT,3.6,EDUCATION,D,22900,15.09,0,0.47,N,7
24,66115,MORTGAGE,4.0,EDUCATION,C,5800,11.63,0,0.09,N,7
36,48144,RENT,1.5,HOMEIMPROVEMENT,C,7200,10.23,0,0.15,Y,6
20,97375,RENT,2.6,MEDICAL,B,7800,10.8,0,0.08,N,3
28,36094,RENT,1.4,EDUCATION,A,7700,6.45,1,0.21,N,4
20,68579,OWN,4.1,MEDICAL,C,7100,11.24,0,0.1,Y,4
23,45907,MORTGAGE,1.3,EDUCATION,C,9900,,0,0.22,Y,7
25,94963,MORTGAGE,2.6,DEBTCONSOLIDATION,B,9800,,1,0.1,Y,5
25,127786,RENT,1.1,MEDICAL,A,10000,8.35,0,0.08,N,6
36,109512,OWN,2.4,DEBTCONSOLIDATION,A,6300,6.09,0,0.06,N,5
21,61661,MORTGAGE,,VENTURE,A,6100,8.94,0,0.1,N,4
20,58427,MORTGAGE,1.0,PERSONAL,A,16300,6.91,0,0.28,N,5
25,56479,RENT,3.7,PERSONAL,B,11000,10.83,0,0.19,Y,2
29,34704,RENT,5.2,VENTURE,D,11300,16.27,1,0.33,Y,8
31,93205,RENT,7.9,VENTURE,C,8600,13.67,0,0.09,Y,12
35,20537,MORTGAGE,1.5,EDUCATION,B,6800,,0,0.33,N,6
20,48707,RENT,2.3,DEBTCONSOLIDATION,C,16700,11.48,0,0.34,N,9
38,133183,RENT,4.9,MEDICAL,B,12000,13.76,0,0.09,N,1
23,26252,RENT,,MEDICAL,B,17600,9.15,0,0.67,N,10
26,75470,MORTGAGE,5.8,PERSONAL,C,6000,11.58,0,0.08,N,5
28,86792,RENT,3.7,VENTURE,A,9400,7.46,0,0.11,N,4
20,44613,MORTGAGE,1.8,MEDICAL,D,9300,16.68,1,0.21,N,5
25,35174,MORTGAGE,2.2,MEDICAL,A,9000,5.7,0,0.26,Y,4
34,25578,MORTGAGE,3.0,EDUCATION,B,14400,12.21,0,0.56,N,2
32,46861,RENT,1.8,PERSONAL,B,3900,9.13,0,0.08,N,5
25,40013,MORTGAGE,1.6,EDUCATION,B,2300,,0,0.06,Y,6
29,28767,MORTGAGE,4.9,HOMEIMPROVEMENT,B,14200,10.92,0,0.49,N,2
31,97287,MORTGAGE,4.0,MEDICAL,A,8300,9.76,0,0.09,N,11
26,38402,RENT,0.2,DEBTCONSOLIDATION,C,13800,13.67,1,0.36,N,2
31,74331,RENT,8.3,VENTURE,B,7800,11.09,0,0.1,N,3
23,38380,RENT,1.6,HOMEIMPROVEMENT,B,4800,10.91,0,0.13,Y,2
22,77348,RENT,5.2,DEBTCONSOLIDATION,C,8000,14.43,0,0.1,N,4
26,65674,RENT,3.0,MEDICAL,B,7300,9.67,0,0.11,N,10
20,99417,RENT,4.5,PERSONAL,D,6700,15.29,0,0.07,Y,9
32,26643,RENT,3.9,EDUCATION,A,19100,7.54,0,0.72,N,5
28,40402,MORTGAGE,1.8,EDUCATION,A,10900,8.82,0,0.27,Y,7
27,93896,RENT,1.6,MEDICAL,A,5800,7.6,0,0.06,Y,2
33,42799,OWN,1.0,VENTURE,D,6800,14.04,1,0.16,N,4
30,48705,MORTGAGE,4.2,HOMEIMPROVEMENT,C,14400,,0,0.3,N,2
34,77818,RENT,5.7,MEDICAL,C,7000,13.67,0,0.09,N,13
37,51008,MORTGAGE,1.8,HOMEIMPROVEMENT,B,10000,10.94,0,0.2,N,4
30,62576,RENT,3.9,MEDICAL,A,14000,,0,0.22,N,8
24,55748,OWN,1.0,EDUCATION,B,23600,10.11,0,0.42,Y,5
32,50022,RENT,4.3,EDUCATION,B,6100,11.21,0,0.12,N,3
24,29748,MORTGAGE,1.0,VENTURE,A,13200,5.46,0,0.44,N,16
23,46890,RENT,7.1,PERSONAL,B,8500,11.94,0,0.18,N,7
26,77627,RENT,4.2,MEDICAL,D,9200,18.14,0,0.12,Y,4
35,50491,RENT,2.8,EDUCATION,A,9300,9.07,0,0.18,N,5
33,75764,OWN,3.5,PERSONAL,C,10600,,0,0.14,N,3
33,50288,MORTGAGE,4.1,HOMEIMPROVEMENT,B,22400,11.49,1,0.45,Y,7
29,75462,RENT,0.5,EDUCATION,A,9100,8.28,0,0.12,N,1
31,43511,RENT,4.0,VENTURE,A,14300,7.92,1,0.33,Y,1
32,33059,RENT,1.7,VENTURE,B,6800,9.9,0,0.21,Y,3
24,91383,MORTGAGE,4.0,PERSONAL,C,9400,12.63,0,0.1,N,6
32,34184,RENT,5.9,EDUCATION,B,3100,9.56,0,0.09,N,10
28,41882,RENT,2.3,DEBTCONSOLIDATION,A,2400,6.29,0,0.06,N,4
26,59510,MORTGAGE,5.3,PERSONAL,A,27500,9.49,1,0.46,Y,8
26,24044,MORTGAGE,6.9,PERSONAL,C,14100,13.17,0,0.59,N,2
25,44457,RENT,3.8,HOMEIMPROVEMENT,B,5600,9.53,0,0.13,N,10
26,42607,MORTGAGE,3.0,HOMEIMPROVEMENT,B,10500,11.37,0,0.25,N,3
28,51698,RENT,3.3,VENTURE,A,12400,9.28,0,0.24,N,5
32,52533,MORTGAGE,1.6,HOMEIMPROVEMENT,C,11400,13.72,1,0.22,Y,5
37,46712,RENT,7.7,EDUCATION,B,2500,10.73,1,0.05,Y,7
31,54268,MORTGAGE,4.2,HOMEIMPROVEMENT,A,4500,5.0,0,0.08,Y,4
29,122852,MORTGAGE,4.3,MEDICAL,B,6900,9.72,0,0.06,N,5
20,191357,MORTGAGE,7.3,HOMEIMPROVEMENT,C,5300,13.58,0,0.03,Y,2
43,76118,RENT,2.2,MEDICAL,D,6600,17.68,1,0.09,N,9
24,50315,OWN,1.0,EDUCATION,E,4600,17.53,0,0.09,N,4
24,37682,RENT,2.9,PERSONAL,B,12300,11.7,1,0.33,Y,15
36,40917,RENT,9.5,HOMEIMPROVEMENT,B,8900,11.14,0,0.22,N,7
21,52561,MORTGAGE,7.6,PERSONAL,B,5600,10.43,0,0.11,N,10
30,104213,RENT,0.9,HOMEIMPROVEMENT,B,7000,9.66,0,0.07,Y,10
25,35378,MORTGAGE,1.8,EDUCATION,A,8600,7.24,0,0.24,N,7
26,70736,MORTGAGE,6.3,EDUCATION,C,17200,15.7,0,0.24,N,5
28,45523,RENT,4.0,PERSONAL,E,6300,14.98,1,0.14,N,9
21,95560,OWN,3.6,MEDICAL,A,9700,6.81,0,0.1,N,10
27,48953,RENT,2.6,VENTURE,A,5300,6.76,0,0.11,N,14
34,40413,MORTGAGE,1.9,DEBTCONSOLIDATION,A,4000,6.62,0,0.1,N,5
28,41774,RENT,2.3,VENTURE,B,20800,,0,0.5,N,4
49,140653,OWN,0.9,PERSONAL,B,5500,11.35,0,0.04,N,4
29,57607,RENT,4.7,PERSONAL,B,4200,10.52,0,0.07,N,2
21,101764,RENT,2.1,DEBTCONSOLIDATION,B,9300,10.55,0,0.09,N,5
25,70158,RENT,4.5,VENTURE,C,5100,13.7,0,0.07,Y,6
20,79812,OTHER,0.8,HOMEIMPROVEMENT,A,9800,8.28,0,0.12,N,3
34,48849,MORTGAGE,3.1,MEDICAL,C,4500,14.87,0,0.09,Y,3
38,55675,MORTGAGE,6.0,HOMEIMPROVEMENT,C,16000,13.16,1,0.29,N,7
33,34678,MORTGAGE,4.1,EDUCATION,B,6500,8.78,0,0.19,N,8
23,35596,MORTGAGE,2.4,HOMEIMPROVEMENT,A,7300,8.2,0,0.21,N,6
23,52284,MORTGAGE,1.2,DEBTCONSOLIDATION,D,13700,15.52,0,0.26,N,1
32,49642,RENT,3.7,DEBTCONSOLIDATION,B,12500,11.56,0,0.25,N,10
25,54701,MORTGAGE,6.5,EDUCATION,A,9800,10.16,0,0.18,N,4
23,86481,MORTGAGE,8.4,HOMEIMPROVEMENT,A,19800,7.1,0,0.23,N,5
22,148620,RENT,4.5,EDUCATION,D,9900,15.47,0,0.07,N,12
39,35818,RENT,2.0,PERSONAL,A,3500,5.84,0,0.1,Y,6
25,71025,MORTGAGE,2.6,VENTURE,B,8200,12.62,0,0.12,N,7
33,43751,RENT,4.0,PERSONAL,C,7800,,0,0.18,N,6
31,25648,OWN,3.6,MEDICAL,B,4300,,0,0.17,Y,7
23,191148,RENT,0.7,VENTURE,C,11300,14.18,0,0.06,N,3
28,56629,RENT,9.6,VENTURE,B,4000,10.45,0,0.07,Y,4
22,48552,MORTGAGE,3.1,VENTURE,C,7100,11.62,0,0.15,Y,8
37,91654,RENT,3.1,PERSONAL,A,5100,5.53,0,0.06,Y,6
23,195407,RENT,0.9,VENTURE,A,12500,6.8,0,0.06,N,4
30,68415,MORTGAGE,2.3,PERSONAL,A,3600,7.86,0,0.05,N,8
25,208937,MORTGAGE,5.2,EDUCATION,B,9500,,0,0.05,N,10
22,58298,RENT,5.7,PERSONAL,A,15400,6.18,0,0.26,Y,12
34,97882,RENT,4.5,VENTURE,B,4700,11.94,0,0.05,N,2
25,39277,MORTGAGE,1.5,MEDICAL,A,9000,8.35,0,0.23,N,6
20,39518,OWN,6.6,EDUCATION,B,3600,9.67,0,0.09,N,7
31,68780,MORTGAGE,1.7,DEBTCONSOLIDATION,A,5100,5.85,0,0.07,N,12
24,114392,RENT,1.6,HOMEIMPROVEMENT,B,5000,11.76,0,0.04,N,5
29,46024,RENT,2.1,VENTURE,C,23000,12.79,0,0.5,N,6
33,94264,RENT,7.1,HOMEIMPROVEMENT,A,5200,7.42,0,0.06,N,1
30,71541,RENT,2.2,DEBTCONSOLIDATION,C,5600,14.22,0,0.08,Y,12
33,51670,MORTGAGE,4.1,PERSONAL,B,8900,,0,0.17,N,4
20,85295,RENT,2.5,MEDICAL,A,5800,7.28,0,0.07,N,4
35,40015,MORTGAGE,8.5,VENTURE,A,13700,7.26,0,0.34,N,4
26,99555,MORTGAGE,3.7,DEBTCONSOLIDATION,A,8400,6.16,0,0.08,N,1
20,53135,MORTGAGE,2.1,VENTURE,C,7400,11.83,0,0.14,Y,3
20,85808,RENT,0.7,EDUCATION,A,6800,6.39,0,0.08,N,2
26,66400,MORTGAGE,4.5,DEBTCONSOLIDATION,E,4700,15.4,1,0.07,Y,21
23,62586,MORTGAGE,3.1,HOMEIMPROVEMENT,C,14800,,0,0.24,N,7
23,11007,MORTGAGE,2.3,PERSONAL,B,11100,,0,0.85,N,6
30,45068,RENT,1.1,DEBTCONSOLIDATION,G,20200,20.02,1,0.45,N,7
38,36393,RENT,9.2,VENTURE,A,13300,5.47,0,0.37,Y,5
23,78877,OWN,5.0,HOMEIMPROVEMENT,C,6300,12.94,0,0.08,Y,5
29,53333,RENT,6.1,DEBTCONSOLIDATION,A,6100,6.24,0,0.11,N,2
25,25949,RENT,2.6,EDUCATION,B,18400,9.79,0,0.71,Y,2
22,79431,RENT,2.7,HOMEIMPROVEMENT,A,7500,8.44,0,0.09,Y,4
22,55111,MORTGAGE,10.1,MEDICAL,C,8200,15.6,1,0.15,Y,6
38,58126,OWN,1.3,HOMEIMPROVEMENT,B,7200,11.37,1,0.12,N,10
28,75365,RENT,8.4,DEBTCONSOLIDATION,B,8000,8.8,1,0.11,N,6
27,67942,OWN,7.8,HOMEIMPROVEMENT,D,9300,15.12,1,0.14,N,14
24,163839,RENT,0.9,HOMEIMPROVEMENT,A,15600,8.03,0,0.1,N,7
28,94407,MORTGAGE,1.1,HOMEIMPROVEMENT,E,32100,17.2,1,0.34,N,3
24,62014,MORTGAGE,11.1,MEDICAL,B,7600,10.09,0,0.12,N,5
40,70616,RENT,3.1,PERSONAL,C,7400,13.1,0,0.1,Y,1
30,53739,RENT,3.1,EDUCATION,B,8200,12.29,0,0.15,N,1
29,46955,RENT,3.9,HOMEIMPROVEMENT,C,11200,11.2,0,0.24,N,16
29,93097,OWN,2.2,VENTURE,D,7200,15.65,0,0.08,N,9
36,134282,MORTGAGE,6.4,VENTURE,B,3700,8.15,0,0.03,N,3
28,55124,OWN,1.0,MEDICAL,C,3800,14.34,0,0.07,N,12
25,78645,MORTGAGE,6.2,VENTURE,G,18100,21.23,1,0.23,N,6
29,38030,RENT,2.1,PERSONAL,C,6100,12.35,0,0.16,N,6
33,82771,MORTGAGE,1.7,DEBTCONSOLIDATION,E,4900,18.38,0,0.06,N,6
35,37692,RENT,2.3,HOMEIMPROVEMENT,C,26400,12.32,1,0.7,N,9
29,66348,RENT,5.5,PERSONAL,A,11000,5.53,0,0.17,N,14
29,74824,MORTGAGE,2.4,HOMEIMPROVEMENT,C,6400,15.2,0,0.09,N,14
34,115901,MORTGAGE,0.4,EDUCATION,C,4400,12.8,1,0.04,N,5
20,21414,RENT,1.4,EDUCATION,A,15900,,0,0.74,N,4
29,133658,MORTGAGE,4.7,VENTURE,A,4100,8.32,0,0.03,N,4
24,109972,MORTGAGE,1.4,VENTURE,A,4000,,0,0.04,N,5
28,78109,MORTGAGE,1.5,EDUCATION,C,9900,13.08,0,0.13,N,4
30,51383,MORTGAGE,1.7,MEDICAL,C,4500,15.51,0,0.09,N,4
35,102231,RENT,5.8,PERSONAL,C,4500,13.91,0,0.04,N,2
20,154065,RENT,3.8,EDUCATION,A,10100,9.12,0,0.07,Y,1
24,52465,RENT,,PERSONAL,A,9700,6.3,0,0.18,N,10
23,124194,MORTGAGE,2.5,PERSONAL,A,3600,6.37,0,0.03,Y,3
24,98359,MORTGAGE,7.4,DEBTCONSOLIDATION,C,11000,13.31,0,0.11,N,8
20,112087,RENT,0.3,MEDICAL,C,3400,12.06,0,0.03,N,10
41,88805,RENT,3.4,EDUCATION,D,8800,17.28,1,0.1,N,8
33,60637,RENT,2.7,EDUCATION,A,4300,6.37,0,0.07,N,9
23,33280,MORTGAGE,2.4,EDUCATION,C,10100,12.27,1,0.3,N,6
28,47195,MORTGAGE,7.7,HOMEIMPROVEMENT,B,8300,8.52,0,0.18,N,5
25,84649,RENT,2.6,PERSONAL,D,6100,14.68,1,0.07,N,5
29,54432,RENT,4.9,EDUCATION,C,5600,10.22,0,0.1,N,10
23,23169,MORTGAGE,8.0,DEBTCONSOLIDATION,B,8300,9.96,0,0.36,N,8
20,44701,RENT,3.7,HOMEIMPROVEMENT,C,5900,10.48,0,0.13,N,8
25,34496,MORTGAGE,2.0,EDUCATION,A,5400,5.83,0,0.16,Y,10
36,68334,RENT,0.7,MEDICAL,C,7100,12.12,0,0.1,N,2
20,92531,RENT,2.7,HOMEIMPROVEMENT,C,11600,12.75,0,0.13,N,6
35,67082,OWN,4.3,VENTURE,D,4000,16.04,0,0.06,N,10
31,28627,RENT,5.9,DEBTCONSOLIDATION,A,5800,7.04,0,0.2,N,9
26,49677,RENT,4.9,EDUCATION,C,14700,13.54,1,0.3,N,3
33,35671,RENT,1.6,HOMEIMPROVEMENT,A,6400,,1,0.18,Y,2
29,56137,RENT,3.9,EDUCATION,C,27000,,1,0.48,N,6
20,88200,RENT,2.3,MEDICAL,D,14700,15.44,0,0.17,N,6
26,63309,RENT,1.0,HOMEIMPROVEMENT,A,6000,8.63,0,0.09,N,4
26,61319,RENT,6.0,VENTURE,B,5100,10.62,0,0.08,N,5
37,132869,RENT,1.0,EDUCATION,C,11400,11.6,1,0.09,N,5
26,38607,MORTGAGE,3.8,MEDICAL,C,23900,13.3,1,0.62,N,3
27,105687,MORTGAGE,1.2,HOMEIMPROVEMENT,A,5000,7.5,0,0.05,N,8
21,52052,RENT,4.1,EDUCATION,D,18000,14.85,0,0.35,Y,10
28,211776,RENT,3.5,MEDICAL,F,13500,20.51,0,0.06,Y,7
21,69477,MORTGAGE,1.9,EDUCATION,C,5100,13.17,0,0.07,N,8
35,24540,MORTGAGE,3.1,EDUCATION,B,17200,,0,0.7,N,2
25,49986,MORTGAGE,0.9,HOMEIMPROVEMENT,B,8100,8.91,0,0.16,N,6
21,31955,RENT,11.2,EDUCATION,A,10700,5.37,0,0.33,N,6
35,175296,RENT,1.4,PERSONAL,C,8000,15.59,0,0.05,Y,7
20,42214,RENT,5.2,VENTURE,A,3400,7.09,0,0.08,N,3
30,112622,RENT,9.8,EDUCATION,A,5400,7.61,0,0.05,N,2
20,97004,MORTGAGE,3.4,VENTURE,A,10600,6.26,0,0.11,N,8
30,33633,RENT,5.7,MEDICAL,C,14400,13.95,0,0.43,N,7
34,28126,RENT,9.3,HOMEIMPROVEMENT,B,6400,10.35,0,0.23,N,6
24,98593,RENT,4.2,HOMEIMPROVEMENT,C,6100,12.78,0,0.06,N,6
21,50693,MORTGAGE,2.4,HOMEIMPROVEMENT,A,15600,6.82,0,0.31,N,5
21,60457,RENT,6.3,PERSONAL,B,23100,9.0,0,0.38,N,6
28,65183,MORTGAGE,3.3,HOMEIMPROVEMENT,B,12300,11.34,0,0.19,N,4
40,13930,RENT,0.5,VENTURE,B,7400,12.58,0,0.53,N,5
34,57832,OWN,1.6,MEDICAL,A,11300,7.39,0,0.2,N,6
35,106307,RENT,2.9,EDUCATION,B,10400,,0,0.1,N,13
22,24857,MORTGAGE,,EDUCATION,B,11300,9.5,0,0.45,N,2
35,90111,MORTGAGE,4.1,MEDICAL,D,13600,15.19,0,0.15,N,5
34,53720,OWN,2.1,MEDICAL,B,10800,9.59,0,0.2,N,4
30,33909,MORTGAGE,4.2,DEBTCONSOLIDATION,A,21700,,1,0.64,N,1
24,71198,MORTGAGE,0.3,DEBTCONSOLIDATION,A,9500,6.64,0,0.13,N,11
34,59361,MORTGAGE,1.1,EDUCATION,A,5700,6.83,0,0.1,N,6
24,118360,MORTGAGE,9.6,DEBTCONSOLIDATION,A,13400,7.31,0,0.11,N,5
32,45290,RENT,0.6,VENTURE,C,8500,14.42,0,0.19,N,10
26,114083,MORTGAGE,9.8,PERSONAL,C,10500,13.43,0,0.09,N,3
22,58779,MORTGAGE,11.6,DEBTCONSOLIDATION,A,12400,,0,0.21,N,3
26,74334,MORTGAGE,3.3,VENTURE,D,13900,16.14,1,0.19,N,15
40,50215,RENT,5.7,VENTURE,A,3500,6.01,0,0.07,N,6
21,37030,RENT,1.6,MEDICAL,C,10700,12.72,0,0.29,N,5
34,96007,MORTGAGE,2.3,MEDICAL,A,6000,7.04,0,0.06,N,6
33,58510,RENT,10.4,DEBTCONSOLIDATION,B,8000,,0,0.14,N,9
27,50783,RENT,8.2,MEDICAL,C,2700,12.79,0,0.05,N,5
25,98475,RENT,7.7,EDUCATION,A,12200,5.0,0,0.12,N,5
21,126634,RENT,5.9,MEDICAL,A,12300,6.59,0,0.1,N,11
36,45902,RENT,0.9,PERSONAL,C,13700,11.98,1,0.3,N,6
21,136116,RENT,2.3,MEDICAL,C,9100,12.1,0,0.07,N,2
20,40503,RENT,2.5,DEBTCONSOLIDATION,D,5000,14.56,1,0.12,N,4
30,66579,RENT,7.3,PERSONAL,B,3500,10.26,0,0.05,N,6
20,92118,RENT,3.2,DEBTCONSOLIDATION,A,13400,7.49,0,0.15,Y,2
27,10714,MORTGAGE,5.4,VENTURE,B,12300,11.32,0,0.85,N,8
20,36735,RENT,1.5,PERSONAL,C,8300,12.29,1,0.23,Y,3
25,48303,OWN,1.2,EDUCATION,A,7800,5.07,0,0.16,N,4
28,68400,OWN,3.1,MEDICAL,A,13400,5.99,0,0.2,Y,14
30,59871,RENT,1.9,HOMEIMPROVEMENT,C,4400,14.46,0,0.07,N,4
36,17403,RENT,5.5,HOMEIMPROVEMENT,C,6700,13.76,0,0.38,N,4
28,49148,MORTGAGE,5.9,PERSONAL,B,16100,11.66,0,0.33,N,6
29,27306,MORTGAGE,1.9,DEBTCONSOLIDATION,C,3800,13.08,0,0.14,N,3
27,43833,MORTGAGE,2.0,HOMEIMPROVEMENT,A,12200,6.55,0,0.28,N,2
